thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,fixation.started,Target.started,mouse.started,fixation.stopped,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0,0,0,[np.float64(0.18083333333333335)],[np.float64(0.49)],[1],[0],[0],[2.6337468000128865],['Target'],0,0,0,0,0.037067299999762326,,5,0.02556350000668317,0.037067299999762326,0.037067299999762326,0.025606200011679903,1.0372154000069713,2.659566400005133,[np.float64(0.18083333333333335)],[np.float64(0.49)],[1],[0],[0],[2.6337468000128865],['Target'],Participant 4,001,2025-09-30_13h44.30.212,visual search task,,2025.1.1,59.921538737907404,2025-09-30 13h44.47.354168 +0530,
1,0,1,[np.float64(-0.24583333333333332)],[np.float64(-0.025833333333333333)],[1],[0],[0],[1.1371160999988206],['Target'],1,0,1,0,2.683071799998288,,5,2.673891900005401,2.683071799998288,2.683071799998288,0.0141276999929687,3.69023069999821,3.8112389000016265,[np.float64(-0.24583333333333332)],[np.float64(-0.025833333333333333)],[1],[0],[0],[1.1371160999988206],['Target'],Participant 4,001,2025-09-30_13h44.30.212,visual search task,,2025.1.1,59.921538737907404,2025-09-30 13h44.47.354168 +0530,
2,0,2,[np.float64(0.10416666666666667)],[np.float64(-0.005833333333333334)],[1],[0],[0],[2.094268500004546],['Target'],2,0,2,0,3.847998800003552,,10,3.8358124000078533,3.847998800003552,3.847998800003552,0.024447699994198047,4.858274500002153,5.930290200005402,[np.float64(0.10416666666666667)],[np.float64(-0.005833333333333334)],[1],[0],[0],[2.094268500004546],['Target'],Participant 4,001,2025-09-30_13h44.30.212,visual search task,,2025.1.1,59.921538737907404,2025-09-30 13h44.47.354168 +0530,
3,0,3,[np.float64(-0.28)],[np.float64(-0.155)],[1],[0],[0],[0.8707581000053324],['Target'],3,0,3,0,5.973053699999582,,10,5.959934500002419,5.973053699999582,5.973053699999582,0.029433799994876608,,6.830950000003213,[np.float64(-0.28)],[np.float64(-0.155)],[1],[0],[0],[0.8707581000053324],['Target'],Participant 4,001,2025-09-30_13h44.30.212,visual search task,,2025.1.1,59.921538737907404,2025-09-30 13h44.47.354168 +0530,
4,0,4,[np.float64(0.19333333333333333)],[np.float64(-0.49916666666666665)],[1],[0],[0],[1.376897399997688],['Target'],4,0,4,0,6.868259399998351,,10,6.856385200007935,6.868259399998351,6.868259399998351,0.025190999993355945,7.878124200011371,8.233503900002688,[np.float64(0.19333333333333333)],[np.float64(-0.49916666666666665)],[1],[0],[0],[1.376897399997688],['Target'],Participant 4,001,2025-09-30_13h44.30.212,visual search task,,2025.1.1,59.921538737907404,2025-09-30 13h44.47.354168 +0530,
5,0,5,[np.float64(-0.2425)],[np.float64(0.42)],[1],[0],[0],[1.203693799994653],['Target'],5,0,5,0,8.253911799998605,,5,8.245779500008211,8.253911799998605,8.253911799998605,0.012081599998055026,9.263305400003446,9.449680600009742,[np.float64(-0.2425)],[np.float64(0.42)],[1],[0],[0],[1.203693799994653],['Target'],Participant 4,001,2025-09-30_13h44.30.212,visual search task,,2025.1.1,59.921538737907404,2025-09-30 13h44.47.354168 +0530,
6,0,6,[np.float64(-0.21333333333333335)],[np.float64(0.1425)],[1],[0],[0],[0.7914096000022255],['Target'],6,0,6,0,9.489223100012168,,10,9.476196800009347,9.489223100012168,9.489223100012168,0.02634889999171719,,10.26785670001118,[np.float64(-0.21333333333333335)],[np.float64(0.1425)],[1],[0],[0],[0.7914096000022255],['Target'],Participant 4,001,2025-09-30_13h44.30.212,visual search task,,2025.1.1,59.921538737907404,2025-09-30 13h44.47.354168 +0530,
7,0,7,[np.float64(-0.03833333333333333)],[np.float64(-0.025)],[1],[0],[0],[1.2527024000009988],['Target'],7,0,7,0,10.29209480001009,,5,10.283013699998264,10.29209480001009,10.29209480001009,0.014928299991879612,11.29855900000257,11.535975600010715,[np.float64(-0.03833333333333333)],[np.float64(-0.025)],[1],[0],[0],[1.2527024000009988],['Target'],Participant 4,001,2025-09-30_13h44.30.212,visual search task,,2025.1.1,59.921538737907404,2025-09-30 13h44.47.354168 +0530,
8,0,8,[np.float64(-0.11333333333333333)],[np.float64(-0.043333333333333335)],[1],[0],[0],[0.6173502000019653],['Target'],8,0,8,0,11.560913400011486,,5,11.552627500001108,11.560913400011486,11.560913400011486,0.0164673999970546,,12.170179200009443,[np.float64(-0.11333333333333333)],[np.float64(-0.043333333333333335)],[1],[0],[0],[0.6173502000019653],['Target'],Participant 4,001,2025-09-30_13h44.30.212,visual search task,,2025.1.1,59.921538737907404,2025-09-30 13h44.47.354168 +0530,
9,0,9,"[np.float64(0.4583333333333333), np.float64(0.465), np.float64(0.47833333333333333)]","[np.float64(0.425), np.float64(0.4225), np.float64(0.42083333333333334)]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[1.1896983000042383, 1.6569944000075338, 2.1575264999992214]","[None, None, 'Target']",9,0,9,0,12.208709500002442,,10,12.197159800009103,12.208709500002442,12.208709500002442,0.02677310000581201,13.217106800002512,14.354893399999128,"[np.float64(0.4583333333333333), np.float64(0.465), np.float64(0.47833333333333333)]","[np.float64(0.425), np.float64(0.4225), np.float64(0.42083333333333334)]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[1.1896983000042383, 1.6569944000075338, 2.1575264999992214]","[None, None, 'Target']",Participant 4,001,2025-09-30_13h44.30.212,visual search task,,2025.1.1,59.921538737907404,2025-09-30 13h44.47.354168 +0530,
10,0,10,[np.float64(-0.295)],[np.float64(-0.4091666666666667)],[1],[0],[0],[1.5020166000031168],['Target'],10,0,10,0,14.379399800003739,,5,14.370851700005005,14.379399800003739,14.379399800003739,0.015671500004827976,15.386124000011478,15.873088200009079,[np.float64(-0.295)],[np.float64(-0.4091666666666667)],[1],[0],[0],[1.5020166000031168],['Target'],Participant 4,001,2025-09-30_13h44.30.212,visual search task,,2025.1.1,59.921538737907404,2025-09-30 13h44.47.354168 +0530,
11,0,11,[np.float64(0.485)],[np.float64(0.016666666666666666)],[1],[0],[0],[1.0544187000050442],['Target'],11,0,11,0,15.895011100001284,,5,15.886649100008071,15.895011100001284,15.895011100001284,0.01344490000337828,16.904286700009834,16.94132990000071,[np.float64(0.485)],[np.float64(0.016666666666666666)],[1],[0],[0],[1.0544187000050442],['Target'],Participant 4,001,2025-09-30_13h44.30.212,visual search task,,2025.1.1,59.921538737907404,2025-09-30 13h44.47.354168 +0530,
12,0,12,[np.float64(0.39)],[np.float64(0.4508333333333333)],[1],[0],[0],[1.108536899992032],['Target'],12,0,12,0,16.97885440000391,,10,16.966855500009842,16.97885440000391,16.97885440000391,0.02533679999760352,17.98907940000936,18.075580500008073,[np.float64(0.39)],[np.float64(0.4508333333333333)],[1],[0],[0],[1.108536899992032],['Target'],Participant 4,001,2025-09-30_13h44.30.212,visual search task,,2025.1.1,59.921538737907404,2025-09-30 13h44.47.354168 +0530,
