delay,freq,condition,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,textbox.text,button.numClicks,button.timesOn,button.timesOff,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,polygon.started,polygon_2.started,key_resp.started,polygon.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,beep.started,sound_1.started,sound_1.stopped,beep.stopped,response.started,text.started,textbox.started,button.started,response.stopped,trials.textbox.text,trials.button.numClicks,trials.button.timesOn,trials.button.timesOff,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
0.7,1000,exp,0,0,0,space,2.6046616,None,"300
",1,[3.77076099999249],[3.770772699994268],0,0,0,8,0.2442574,,0.0734529,0.2442574,1.0123859,1.0123859,1.2473055,3.6323395,space,2.6046616,None,3.6332478,4.332662067,4.6508878,4.6287333,4.6297525,4.6508878,4.6508878,4.6508878,8.421978,"300
",1,[3.77076099999249],[3.770772699994268],Participant_01,1,2025-11-10_12h43.05.183,Intentional binding_LAB,,2025.1.1,59.73230371,2025-11-10 12h43.20.345499 +0530
0.4,1000,exp,1,1,0,space,2.9297991,None,400,1,[2.359164099994814],[2.3591741000127513],0,1,1,4,8.4368299,,8.4223368,8.4368299,9.4376641,9.4376641,9.4376641,12.3780975,space,2.9297991,None,12.3789465,12.77736377,13.0863824,13.0741482,13.0747999,13.0863824,13.0863824,13.0863824,15.4459255,400,1,[2.359164099994814],[2.3591741000127513],Participant_01,1,2025-11-10_12h43.05.183,Intentional binding_LAB,,2025.1.1,59.73230371,2025-11-10 12h43.20.345499 +0530
0.1,400,unexp,2,2,0,space,4.6548554,None,200,1,[7.281503200007137],[7.28151179998531],0,2,2,0,15.4615836,,15.4462591,15.4615836,16.4459938,16.4459938,16.4627197,21.1013928,space,4.6548554,None,21.1021892,21.20208797,21.5113554,21.49759,21.4980235,21.5113554,21.5113554,21.5113554,28.7931594,200,1,[7.281503200007137],[7.28151179998531],Participant_01,1,2025-11-10_12h43.05.183,Intentional binding_LAB,,2025.1.1,59.73230371,2025-11-10 12h43.20.345499 +0530
0.4,1000,exp,3,3,0,space,1.3080244,None,400,1,[1.8705686000175774],[1.8705800000170711],0,3,3,7,28.809136,,28.7934205,28.809136,29.7958224,29.7958224,29.8125878,31.113551,space,1.3080244,None,31.1142326,31.52970007,31.8450337,31.8324545,31.8329833,31.8450337,31.8450337,31.8450337,33.7159183,400,1,[1.8705686000175774],[1.8705800000170711],Participant_01,1,2025-11-10_12h43.05.183,Intentional binding_LAB,,2025.1.1,59.73230371,2025-11-10 12h43.20.345499 +0530
0.1,1000,exp,4,4,0,space,4.5517548,None,100,1,[2.6505811999959406],[2.6505917999893427],0,4,4,3,33.7307717,,33.7162738,33.7307717,34.7159089,34.7159089,34.7327004,39.2721457,space,4.5517548,None,39.2726833,39.38740647,39.7081578,39.6924375,39.693214,39.7081578,39.7081578,39.7081578,42.3590936,100,1,[2.6505811999959406],[2.6505917999893427],Participant_01,1,2025-11-10_12h43.05.183,Intentional binding_LAB,,2025.1.1,59.73230371,2025-11-10 12h43.20.345499 +0530
0.7,1000,exp,5,5,0,space,4.0569603,None,300,1,[3.640535499987891],[3.6405470999889076],0,5,5,5,42.3745343,,42.35941,42.3745343,43.3751245,43.3751245,43.3751245,47.4475132,space,4.0569603,None,47.4480855,48.14906197,48.4617966,48.4489516,48.4495795,48.4617966,48.4617966,48.4617966,52.1026841,300,1,[3.640535499987891],[3.6405470999889076],Participant_01,1,2025-11-10_12h43.05.183,Intentional binding_LAB,,2025.1.1,59.73230371,2025-11-10 12h43.20.345499 +0530
0.1,1000,exp,6,6,0,space,2.4541589,None,200,1,[3.19327489999705],[3.1932846999843605],0,6,6,9,52.1186102,,52.1029888,52.1186102,53.1031262,53.1031262,53.1192858,55.5729149,space,2.4541589,None,55.5737975,55.67235127,55.9827759,55.9701616,55.9708267,55.9827759,55.9827759,55.9827759,59.1764572,200,1,[3.19327489999705],[3.1932846999843605],Participant_01,1,2025-11-10_12h43.05.183,Intentional binding_LAB,,2025.1.1,59.73230371,2025-11-10 12h43.20.345499 +0530
0.4,1000,exp,7,7,0,space,3.7675435,None,400,1,[2.4606104000122286],[2.4606216000101995],0,7,7,10,59.1932009,,59.1768512,59.1932009,60.1772075,60.1772075,60.1918532,63.9488736,space,3.7675435,None,63.949612,64.34828537,64.6586095,64.6466459,64.6470698,64.6586095,64.6586095,64.6586095,67.1195388,400,1,[2.4606104000122286],[2.4606216000101995],Participant_01,1,2025-11-10_12h43.05.183,Intentional binding_LAB,,2025.1.1,59.73230371,2025-11-10 12h43.20.345499 +0530
0.1,1000,exp,8,8,0,space,3.2327057,None,150,1,[4.518179599981522],[4.5181928999954835],0,8,8,6,67.134478,,67.1198484,67.134478,68.1195246,68.1195246,68.1340177,71.3558531,space,3.2327057,None,71.356414,71.45654447,71.7606642,71.7491965,71.7496122,71.7606642,71.7606642,71.7606642,76.2791972,150,1,[4.518179599981522],[4.5181928999954835],Participant_01,1,2025-11-10_12h43.05.183,Intentional binding_LAB,,2025.1.1,59.73230371,2025-11-10 12h43.20.345499 +0530
0.7,400,unexp,9,9,0,space,0.4000941,None,600,1,[2.9272637000249233],[2.9272743000183254],0,9,9,2,76.2944312,,76.2795392,76.2944312,77.2813544,77.2813544,77.2972543,77.6972004,space,0.4000941,None,77.6977943,78.39792747,78.7070646,78.6951026,78.6957062,78.7070646,78.7070646,78.7070646,81.6346173,600,1,[2.9272637000249233],[2.9272743000183254],Participant_01,1,2025-11-10_12h43.05.183,Intentional binding_LAB,,2025.1.1,59.73230371,2025-11-10 12h43.20.345499 +0530
0.4,400,unexp,10,10,0,space,0.6592529,None,600,1,[2.659416299982695],[2.6594247999892104],0,10,10,1,81.6502909,,81.634914,81.6502909,82.6354451,82.6354451,82.6527525,83.3037493,space,0.6592529,None,83.3044318,83.70354697,84.0145622,84.0018623,84.0025239,84.0145622,84.0145622,84.0145622,86.6742697,600,1,[2.659416299982695],[2.6594247999892104],Participant_01,1,2025-11-10_12h43.05.183,Intentional binding_LAB,,2025.1.1,59.73230371,2025-11-10 12h43.20.345499 +0530
0.7,1000,exp,11,11,0,space,1.1855622,None,500,1,[3.8599317999905907],[3.8599424999847542],0,11,11,11,86.6897427,,86.674508,86.6897427,87.6752086,87.6752086,87.6921086,88.8772503,space,1.1855622,None,88.8781316,89.57755747,89.8883311,89.8747466,89.8753792,89.8883311,89.8883311,89.8883311,93.7486066,500,1,[3.8599317999905907],[3.8599424999847542],Participant_01,1,2025-11-10_12h43.05.183,Intentional binding_LAB,,2025.1.1,59.73230371,2025-11-10 12h43.20.345499 +0530
0.1,400,unexp,12,0,1,space,1.0933402,None,200,1,[2.20161979997647],[2.201630199997453],1,0,12,0,93.7640745,,93.7490644,93.7640745,94.7491545,94.7491545,94.765388,95.8517018,space,1.0933402,None,95.8523764,95.95125237,96.2686628,96.2565656,96.2570432,96.2686628,96.2686628,96.2686628,98.4706406,200,1,[2.20161979997647],[2.201630199997453],Participant_01,1,2025-11-10_12h43.05.183,Intentional binding_LAB,,2025.1.1,59.73230371,2025-11-10 12h43.20.345499 +0530
0.4,400,unexp,13,1,1,space,0.6953612,None,200,1,[2.8541986999916844],[2.8542088999820407],1,1,13,1,98.4858811,,98.4709867,98.4858811,99.4721215,99.4721215,99.4888627,100.1720672,space,0.6953612,None,100.1727512,100.5738583,100.8877396,100.8741422,100.8747831,100.8877396,100.8877396,100.8877396,103.7423,200,1,[2.8541986999916844],[2.8542088999820407],Participant_01,1,2025-11-10_12h43.05.183,Intentional binding_LAB,,2025.1.1,59.73230371,2025-11-10 12h43.20.345499 +0530
0.4,1000,exp,14,2,1,space,5.1007901,None,500,1,[4.31435749999946],[4.314367599989055],1,2,14,4,103.758139,,103.7434971,103.758139,104.7431914,104.7431914,104.7612338,109.8489478,space,5.1007901,None,109.8497962,110.2494698,110.5565786,110.5438883,110.5445819,110.5565786,110.5565786,110.5565786,114.8712265,500,1,[4.31435749999946],[4.314367599989055],Participant_01,1,2025-11-10_12h43.05.183,Intentional binding_LAB,,2025.1.1,59.73230371,2025-11-10 12h43.20.345499 +0530
