reward_today,future_reward,delay,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
67,75,119,0,0,0,t,5.68468980002217,None,0,0,0,5,0.5081899999640882,,0.5026358999311924,0.5081899999640882,1.0069132999051362,1.0069132999051362,1.5227630999870598,6.887719399994239,t,5.68468980002217,None,Subject 02,001,2025-11-07_15h38.56.010,untitled,,2025.1.1,59.930516602070455,2025-11-07 15h39.12.736514 +0530,
78,80,162,1,1,0,t,1.7025456000119448,None,0,1,1,6,6.900568000040948,,6.895607899874449,6.900568000040948,7.897103399969637,7.897103399969637,7.913666700012982,9.616610599914566,t,1.7025456000119448,None,Subject 02,001,2025-11-07_15h38.56.010,untitled,,2025.1.1,59.930516602070455,2025-11-07 15h39.12.736514 +0530,
11,30,7,2,2,0,l,1.815548700047657,None,0,2,2,0,9.631416299846023,,9.622608399949968,9.631416299846023,10.617174600018188,10.617174600018188,10.633809000020847,12.43614499992691,l,1.815548700047657,None,Subject 02,001,2025-11-07_15h38.56.010,untitled,,2025.1.1,59.930516602070455,2025-11-07 15h39.12.736514 +0530,
27,50,21,3,3,0,l,2.192995300050825,None,0,3,3,2,12.451561199966818,,12.440952899865806,12.451561199966818,13.435436599887908,13.435436599887908,13.452110099839047,15.640205499948934,l,2.192995300050825,None,Subject 02,001,2025-11-07_15h38.56.010,untitled,,2025.1.1,59.930516602070455,2025-11-07 15h39.12.736514 +0530,
49,60,89,4,4,0,l,2.2574680999387056,None,0,4,4,4,15.654647900024429,,15.646937699988484,15.654647900024429,16.640483199851587,16.640483199851587,16.657255899859592,18.910077600041404,l,2.2574680999387056,None,Subject 02,001,2025-11-07_15h38.56.010,untitled,,2025.1.1,59.930516602070455,2025-11-07 15h39.12.736514 +0530,
40,55,62,5,5,0,t,5.046380399959162,None,0,5,5,3,18.925386499846354,,18.915477599948645,18.925386499846354,19.910551100037992,19.910551100037992,19.926702099852264,24.96602229983546,t,5.046380399959162,None,Subject 02,001,2025-11-07_15h38.56.010,untitled,,2025.1.1,59.930516602070455,2025-11-07 15h39.12.736514 +0530,
15,35,13,6,6,0,l,0.6646811000537127,None,0,6,6,1,24.98189129983075,,24.97024349984713,24.98189129983075,25.967199199832976,25.967199199832976,25.984116999898106,26.634838299825788,l,0.6646811000537127,None,Subject 02,001,2025-11-07_15h38.56.010,untitled,,2025.1.1,59.930516602070455,2025-11-07 15h39.12.736514 +0530,
27,50,21,7,0,1,l,0.9150694999843836,None,1,0,7,2,26.65054959990084,,26.63870540005155,26.65054959990084,27.6351205999963,27.6351205999963,27.65178279997781,28.553598999977112,l,0.9150694999843836,None,Subject 02,001,2025-11-07_15h38.56.010,untitled,,2025.1.1,59.930516602070455,2025-11-07 15h39.12.736514 +0530,
40,55,62,8,1,1,t,5.273638699902222,None,1,1,8,3,28.56982530001551,,28.557673800038174,28.56982530001551,29.553334099939093,29.553334099939093,29.570347500033677,34.827659599948674,t,5.273638699902222,None,Subject 02,001,2025-11-07_15h38.56.010,untitled,,2025.1.1,59.930516602070455,2025-11-07 15h39.12.736514 +0530,
11,30,7,9,2,1,l,0.6782414999324828,None,1,2,9,0,34.84353529987857,,34.831333599984646,34.84353529987857,35.827329699881375,35.827329699881375,35.84498499985784,36.51242949999869,l,0.6782414999324828,None,Subject 02,001,2025-11-07_15h38.56.010,untitled,,2025.1.1,59.930516602070455,2025-11-07 15h39.12.736514 +0530,
