prime_word,prime_gender,target_image,target_gender,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instructions.started,text_2.started,key_resp_2.started,Instructions.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trial.started,fixation.started,prime.started,fixation.stopped,prime.stopped,target_picture.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,Thankyou.started,text.started,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,0.004146500024944544,0.015197100001387298,0.015197100001387298,7.916798899997957,space,7.884789100033231,None,,,,,,,,,,,,,,Subject-04,001,2025-11-23_16h25.43.724,Semantic priming with gender association,,2025.1.1,59.63740457545575,2025-11-23 16h26.03.774932 +0530,
Baker,neutral,m7.jpg,male,0,0,0,m,0.6667047999799252,None,0,0,0,52,7.947728500002995,,,,,,,,,7.941405099991243,7.947728500002995,8.425193500006571,8.458430500002578,9.427063899987843,9.427063899987843,9.427063899987843,10.1107878999901,m,0.6667047999799252,None,,,Subject-04,001,2025-11-23_16h25.43.724,Semantic priming with gender association,,2025.1.1,59.63740457545575,2025-11-23 16h26.03.774932 +0530,
Blacksmith,masculine,m9.png,male,1,1,0,m,0.8126461999490857,None,0,1,1,16,10.1556169000105,,,,,,,,,10.149576499999966,10.1556169000105,10.61051770002814,10.660825999977533,11.611608100007288,11.611608100007288,11.611608100007288,12.430128999985754,m,0.8126461999490857,None,,,Subject-04,001,2025-11-23_16h25.43.724,Semantic priming with gender association,,2025.1.1,59.63740457545575,2025-11-23 16h26.03.774932 +0530,
Democrat,neutral,f4.jpg,female,2,2,0,f,0.6510940999723971,None,0,2,2,47,12.445715699985158,,,,,,,,,12.441722000017762,12.445715699985158,12.929945999989286,12.9471254000091,13.93100029998459,13.93100029998459,13.93100029998459,14.598516000027303,f,0.6510940999723971,None,,,Subject-04,001,2025-11-23_16h25.43.724,Semantic priming with gender association,,2025.1.1,59.63740457545575,2025-11-23 16h26.03.774932 +0530,
Nanny,feminine,f9.jpg,female,3,3,0,f,0.5044215000234544,None,0,3,3,37,14.614252800005488,,,,,,,,,14.60916079999879,14.614252800005488,15.098772400000598,15.115480699983891,16.09974269999657,16.09974269999657,16.09974269999657,16.617535300028976,f,0.5044215000234544,None,,,Subject-04,001,2025-11-23_16h25.43.724,Semantic priming with gender association,,2025.1.1,59.63740457545575,2025-11-23 16h26.03.774932 +0530,
Secretary,feminine,m4.jpg,male,4,4,0,m,0.5813789999810979,None,0,4,4,26,16.63666269998066,,,,,,,,,16.631280199973844,16.63666269998066,17.117525200010277,17.150872499973048,18.11921049997909,18.11921049997909,18.11921049997909,18.70332359999884,m,0.5813789999810979,None,,,Subject-04,001,2025-11-23_16h25.43.724,Semantic priming with gender association,,2025.1.1,59.63740457545575,2025-11-23 16h26.03.774932 +0530,
Lawyer,masculine,f5.jpeg,female,5,5,0,m,0.5058594000292942,None,0,5,5,9,18.71946079999907,,,,,,,,,18.708812800003216,18.71946079999907,19.203751599998213,19.22016219998477,20.205167300009634,20.205167300009634,20.205167300009634,20.721646999998484,m,0.5058594000292942,None,,,Subject-04,001,2025-11-23_16h25.43.724,Semantic priming with gender association,,2025.1.1,59.63740457545575,2025-11-23 16h26.03.774932 +0530,
Nurse,feminine,f3.jpg,female,6,6,0,f,0.8320065999869257,None,0,6,6,25,20.77452049998101,,,,,,,,,20.75545900000725,20.77452049998101,21.222754599992186,21.289002200006507,22.22345619997941,22.22345619997941,22.22345619997941,23.058084700023755,f,0.8320065999869257,None,,,Subject-04,001,2025-11-23_16h25.43.724,Semantic priming with gender association,,2025.1.1,59.63740457545575,2025-11-23 16h26.03.774932 +0530,
Babysitter,feminine,m1.jpg,male,7,7,0,m,0.5248332999763079,None,0,7,7,20,23.074460999981966,,,,,,,,,23.068797899992205,23.074460999981966,23.558269499975722,23.575017100025434,24.558938100002706,24.558938100002706,24.558938100002706,25.094340400013607,m,0.5248332999763079,None,,,Subject-04,001,2025-11-23_16h25.43.724,Semantic priming with gender association,,2025.1.1,59.63740457545575,2025-11-23 16h26.03.774932 +0530,
Reporter,neutral,f3.jpg,female,8,8,0,f,0.4540218000183813,None,0,8,8,45,25.1388490999816,,,,,,,,,25.131066899979487,25.1388490999816,25.593534199986607,25.6450293000089,26.595647900016047,26.595647900016047,26.595647900016047,27.051478300010785,f,0.4540218000183813,None,,,Subject-04,001,2025-11-23_16h25.43.724,Semantic priming with gender association,,2025.1.1,59.63740457545575,2025-11-23 16h26.03.774932 +0530,
