study_word,thisN,thisTrialN,thisRepN,Studyslider.response,Studyslider.rt,test_words,reference,old_new,test_textbox.text,testmouse.x,testmouse.y,testmouse.leftButton,testmouse.midButton,testmouse.rightButton,testmouse.time,testmouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,StudyText.started,Studyslider.started,trial.stopped,trials.Studyslider.response,trials.Studyslider.rt,test.started,Testtext.started,test_textbox.started,text.started,testmouse.started,Testtext.stopped,test.stopped,trials_2.test_textbox.text,trials_2.testmouse.x,trials_2.testmouse.y,trials_2.testmouse.leftButton,trials_2.testmouse.midButton,trials_2.testmouse.rightButton,trials_2.testmouse.time,trials_2.testmouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
police,0,0,0,1,4.0528255,,,,,,,,,,,,0,0,0,12,,,,,0.044445,,0.0233164,0.044445,0.044445,4.0940614,1,4.0528255,,,,,,,,,,,,,,,,Subject03,1,2025-10-19_16h27.29.454,word_priming,,2025.1.1,60.02606333,2025-10-19 16h30.32.403502 +0530
chart,1,1,0,1.006666667,1.7964072,,,,,,,,,,,,0,1,1,6,,,,,4.1078993,,4.0996263,4.1078993,4.1078993,5.911182,1.006666667,1.7964072,,,,,,,,,,,,,,,,Subject03,1,2025-10-19_16h27.29.454,word_priming,,2025.1.1,60.02606333,2025-10-19 16h30.32.403502 +0530
keys,2,2,0,1.006666667,0.8640624,,,,,,,,,,,,0,2,2,13,,,,,5.9261468,,5.9156687,5.9261468,5.9261468,6.7951252,1.006666667,0.8640624,,,,,,,,,,,,,,,,Subject03,1,2025-10-19_16h27.29.454,word_priming,,2025.1.1,60.02606333,2025-10-19 16h30.32.403502 +0530
cushion,3,3,0,1.006666667,1.2835443,,,,,,,,,,,,0,3,3,1,,,,,6.8109892,,6.799561,6.8109892,6.8109892,8.0969409,1.006666667,1.2835443,,,,,,,,,,,,,,,,Subject03,1,2025-10-19_16h27.29.454,word_priming,,2025.1.1,60.02606333,2025-10-19 16h30.32.403502 +0530
poster,4,4,0,1.006666667,0.9828196,,,,,,,,,,,,0,4,4,14,,,,,8.1124657,,8.0996827,8.1124657,8.1124657,9.0976874,1.006666667,0.9828196,,,,,,,,,,,,,,,,Subject03,1,2025-10-19_16h27.29.454,word_priming,,2025.1.1,60.02606333,2025-10-19 16h30.32.403502 +0530
pastry,5,5,0,1.006666667,1.6653119,,,,,,,,,,,,0,5,5,9,,,,,9.1131822,,9.1010399,9.1131822,9.1131822,10.7835532,1.006666667,1.6653119,,,,,,,,,,,,,,,,Subject03,1,2025-10-19_16h27.29.454,word_priming,,2025.1.1,60.02606333,2025-10-19 16h30.32.403502 +0530
t-shirt,6,6,0,1.006666667,0.9644043,,,,,,,,,,,,0,6,6,7,,,,,10.7983165,,10.7874353,10.7983165,10.7983165,11.7675404,1.006666667,0.9644043,,,,,,,,,,,,,,,,Subject03,1,2025-10-19_16h27.29.454,word_priming,,2025.1.1,60.02606333,2025-10-19 16h30.32.403502 +0530
phone,7,7,0,1.006666667,0.9671211,,,,,,,,,,,,0,7,7,2,,,,,11.7834372,,11.7702497,11.7834372,11.7834372,12.7521938,1.006666667,0.9671211,,,,,,,,,,,,,,,,Subject03,1,2025-10-19_16h27.29.454,word_priming,,2025.1.1,60.02606333,2025-10-19 16h30.32.403502 +0530
mouse,8,8,0,1.006666667,1.0976131,,,,,,,,,,,,0,8,8,8,,,,,12.7676617,,12.7560885,12.7676617,12.7676617,13.8693365,1.006666667,1.0976131,,,,,,,,,,,,,,,,Subject03,1,2025-10-19_16h27.29.454,word_priming,,2025.1.1,60.02606333,2025-10-19 16h30.32.403502 +0530
laptop,9,9,0,1.006666667,1.4502689,,,,,,,,,,,,0,9,9,5,,,,,13.8850974,,13.871988,13.8850974,13.8850974,15.3398523,1.006666667,1.4502689,,,,,,,,,,,,,,,,Subject03,1,2025-10-19_16h27.29.454,word_priming,,2025.1.1,60.02606333,2025-10-19 16h30.32.403502 +0530
