prime_word,prime_gender,target_image,target_gender,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instructions.started,text_2.started,key_resp_2.started,Instructions.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trial.started,fixation.started,prime.started,fixation.stopped,target_picture.started,key_resp.started,prime.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,Thankyou.started,text.started,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,0.004053700002259575,0.020455299993045628,0.020455299993045628,2.1077026999992086,space,2.0659302999993088,None,,,,,,,,,,,,,,Subject_01,001,2025-11-19_14h12.35.360,Semantic priming with gender association,,2025.1.1,59.90190464366028,2025-11-19 14h12.47.111657 +0530,
Interpreter,neutral,f6.jpg,female,0,0,0,f,0.5633843999967212,None,0,0,0,51,2.161649400004535,,,,,,,,,2.154739499994321,2.161649400004535,2.622557399998186,2.67251170000236,3.6073983999958728,3.6073983999958728,3.6246354000031715,4.176136599999154,f,0.5633843999967212,None,,,Subject_01,001,2025-11-19_14h12.35.360,Semantic priming with gender association,,2025.1.1,59.90190464366028,2025-11-19 14h12.47.111657 +0530,
Secretary,feminine,m4.jpg,male,1,1,0,m,0.7208659000025364,None,0,1,1,26,4.203175000002375,,,,,,,,,4.197368199995253,4.203175000002375,4.675769699999364,4.708442200004356,5.676878099999158,5.676878099999158,5.676878099999158,6.41253339999821,m,0.7208659000025364,None,,,Subject_01,001,2025-11-19_14h12.35.360,Semantic priming with gender association,,2025.1.1,59.90190464366028,2025-11-19 14h12.47.111657 +0530,
Baker,neutral,m7.jpg,male,2,2,0,m,0.5740885999985039,None,0,2,2,52,6.430000399996061,,,,,,,,,6.425210799992783,6.430000399996061,6.928394200003822,6.9453405999956885,7.9148792999912985,7.9148792999912985,7.928948200002196,8.496719999995548,m,0.5740885999985039,None,,,Subject_01,001,2025-11-19_14h12.35.360,Semantic priming with gender association,,2025.1.1,59.90190464366028,2025-11-19 14h12.47.111657 +0530,
Doctor,masculine,m7.jpg,male,3,3,0,m,0.5402982999949018,None,0,3,3,12,8.514150399991195,,,,,,,,,8.509138299996266,8.514150399991195,8.99732120000408,9.014129300005152,9.998670599990874,9.998670599990874,9.998670599990874,10.549487399999634,m,0.5402982999949018,None,,,Subject_01,001,2025-11-19_14h12.35.360,Semantic priming with gender association,,2025.1.1,59.90190464366028,2025-11-19 14h12.47.111657 +0530,
Democrat,neutral,f4.jpg,female,4,4,0,f,0.547071799999685,None,0,4,4,47,10.590255699993577,,,,,,,,,10.584661200002301,10.590255699993577,11.04983099999663,11.099413399992045,12.049839799990878,12.049839799990878,12.049839799990878,12.60114440000325,f,0.547071799999685,None,,,Subject_01,001,2025-11-19_14h12.35.360,Semantic priming with gender association,,2025.1.1,59.90190464366028,2025-11-19 14h12.47.111657 +0530,
Hunter,masculine,m4.jpg,male,5,5,0,m,0.5285062000039034,None,0,5,5,6,12.622472100003506,,,,,,,,,12.614682600004016,12.622472100003506,13.100739500005147,13.134577599994373,14.102357700001448,14.102357700001448,14.102357700001448,14.637437299999874,m,0.5285062000039034,None,,,Subject_01,001,2025-11-19_14h12.35.360,Semantic priming with gender association,,2025.1.1,59.90190464366028,2025-11-19 14h12.47.111657 +0530,
Pilot,masculine,m8.jpg,male,6,6,0,m,0.3888166000106139,None,0,6,6,14,14.674142000003485,,,,,,,,,14.668201299995417,14.674142000003485,15.137038500004564,15.187422200004221,16.13812869999674,16.13812869999674,16.13812869999674,16.539191999996547,m,0.3888166000106139,None,,,Subject_01,001,2025-11-19_14h12.35.360,Semantic priming with gender association,,2025.1.1,59.90190464366028,2025-11-19 14h12.47.111657 +0530,
Prostitute,feminine,f8.jpeg,female,7,7,0,f,0.631578400003491,None,0,7,7,35,16.562629499996547,,,,,,,,,16.55678800000169,16.562629499996547,17.038871400000062,17.07260299999325,18.040276899992023,18.040276899992023,18.040276899992023,18.674279999991995,f,0.631578400003491,None,,,Subject_01,001,2025-11-19_14h12.35.360,Semantic priming with gender association,,2025.1.1,59.90190464366028,2025-11-19 14h12.47.111657 +0530,
Lawyer,masculine,m5.jpeg,male,8,8,0,m,0.5546343000023626,None,0,8,8,8,18.694409299991094,,,,,,,,,18.688650800002506,18.694409299991094,19.174868300004164,19.207972499993048,20.17671970000083,20.17671970000083,20.17671970000083,20.744805299997097,m,0.5546343000023626,None,,,Subject_01,001,2025-11-19_14h12.35.360,Semantic priming with gender association,,2025.1.1,59.90190464366028,2025-11-19 14h12.47.111657 +0530,
Librarian,feminine,f5.jpeg,female,9,9,0,f,0.4610346999979811,None,0,9,9,29,20.765166500001214,,,,,,,,,20.759650899999542,20.765166500001214,21.259774699996342,21.278249700000742,22.261544199995114,22.261544199995114,22.261544199995114,22.72882999999274,f,0.4610346999979811,None,,,Subject_01,001,2025-11-19_14h12.35.360,Semantic priming with gender association,,2025.1.1,59.90190464366028,2025-11-19 14h12.47.111657 +0530,
