prime_word,prime_gender,target_image,target_gender,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instructions.started,text_2.started,key_resp_2.started,Instructions.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trial.started,fixation.started,prime.started,fixation.stopped,prime.stopped,target_picture.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,Thankyou.started,text.started,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,0.004145100014284253,0.008972199982963502,0.008972199982963502,29.7975446000346,space,29.768407099996693,None,,,,,,,,,,,,,,Subject_06,001,2025-11-24_01h14.09.153,Semantic priming with gender association,,2025.1.1,60.34431257309445,2025-11-24 01h14.27.507731 +0530,
Mechanic,masculine,f1.jpg,female,0,0,0,f,0.40035219996934757,None,0,0,0,1,29.821565799997188,,,,,,,,,29.816127500031143,29.821565799997188,30.309797000023536,30.32569510000758,31.311148100008722,31.311148100008722,31.311148100008722,31.72814289998496,f,0.40035219996934757,None,,,Subject_06,001,2025-11-24_01h14.09.153,Semantic priming with gender association,,2025.1.1,60.34431257309445,2025-11-24 01h14.27.507731 +0530,
Pilot,masculine,m8.jpg,male,1,1,0,m,0.3263657999923453,None,0,1,1,14,31.744093300017994,,,,,,,,,31.73496420000447,31.744093300017994,32.228104699985124,32.24464769999031,33.22955119999824,33.22955119999824,33.22955119999824,33.56376420002198,m,0.3263657999923453,None,,,Subject_06,001,2025-11-24_01h14.09.153,Semantic priming with gender association,,2025.1.1,60.34431257309445,2025-11-24 01h14.27.507731 +0530,
Ballerina,feminine,m10.jpg,male,2,2,0,m,0.5453951000235975,None,0,2,2,18,33.60068670002511,,,,,,,,,33.59397719998378,33.60068670002511,34.06393910001498,34.11312170000747,35.06503980001435,35.06503980001435,35.06503980001435,35.615708200028166,m,0.5453951000235975,None,,,Subject_06,001,2025-11-24_01h14.09.153,Semantic priming with gender association,,2025.1.1,60.34431257309445,2025-11-24 01h14.27.507731 +0530,
Baker,neutral,f7.jpg,female,3,3,0,f,0.3183159999898635,None,0,3,3,53,35.632035800023004,,,,,,,,,35.621656300034374,35.632035800023004,36.115830400027335,36.132390399987344,37.117173700011335,37.117173700011335,37.117173700011335,37.45092229999136,f,0.3183159999898635,None,,,Subject_06,001,2025-11-24_01h14.09.153,Semantic priming with gender association,,2025.1.1,60.34431257309445,2025-11-24 01h14.27.507731 +0530,
Lawyer,masculine,m5.jpeg,male,4,4,0,m,0.510027100041043,None,0,4,4,8,37.46727040002588,,,,,,,,,37.457124100008514,37.46727040002588,37.95089680003002,37.967718600004446,38.95196630002465,38.95196630002465,38.95196630002465,39.470848500030115,m,0.510027100041043,None,,,Subject_06,001,2025-11-24_01h14.09.153,Semantic priming with gender association,,2025.1.1,60.34431257309445,2025-11-24 01h14.27.507731 +0530,
Reporter,neutral,m3.jpg,male,5,5,0,m,0.4439682000083849,None,0,5,5,44,39.48731510003563,,,,,,,,,39.483450300002005,39.48731510003563,39.97047290002229,39.986411900026724,40.971350400010124,40.971350400010124,40.971350400010124,41.42191229999298,m,0.4439682000083849,None,,,Subject_06,001,2025-11-24_01h14.09.153,Semantic priming with gender association,,2025.1.1,60.34431257309445,2025-11-24 01h14.27.507731 +0530,
Reporter,neutral,f3.jpg,female,6,6,0,f,0.32802919996902347,None,0,6,6,45,41.46827040001517,,,,,,,,,41.4574090000242,41.46827040001517,41.92227430001367,41.972416100034025,42.92297700000927,42.92297700000927,42.92297700000927,43.257230999995954,f,0.32802919996902347,None,,,Subject_06,001,2025-11-24_01h14.09.153,Semantic priming with gender association,,2025.1.1,60.34431257309445,2025-11-24 01h14.27.507731 +0530,
Secretary,feminine,f4.jpg,female,7,7,0,f,0.543131300015375,None,0,7,7,27,43.27332069998374,,,,,,,,,43.268222799990326,43.27332069998374,43.75772390002385,43.773708200023975,44.758773100038525,44.758773100038525,44.758773100038525,45.31005470000673,f,0.543131300015375,None,,,Subject_06,001,2025-11-24_01h14.09.153,Semantic priming with gender association,,2025.1.1,60.34431257309445,2025-11-24 01h14.27.507731 +0530,
Homemaker,feminine,m2.jpg,male,8,8,0,m,0.6557412999682128,None,0,8,8,22,45.33058750000782,,,,,,,,,45.32430189999286,45.33058750000782,45.810286100022495,45.84294310002588,46.810428600001615,46.810428600001615,46.810428600001615,47.47866510000313,m,0.6557412999682128,None,,,Subject_06,001,2025-11-24_01h14.09.153,Semantic priming with gender association,,2025.1.1,60.34431257309445,2025-11-24 01h14.27.507731 +0530,
