pos,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials_2.key_resp.keys,trials_2.key_resp.corr,trials_2.key_resp.rt,trials_2.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
-50,x,0,0,0,x,1,1.2201955000055023,None,0,0,0,0,,,,,0.0182935000048019,,0.013152000028640032,0.0182935000048019,1.0101294000050984,1.0101294000050984,1.0101294000050984,1.0101294000050984,1.0285364000010304,2.0102728999918327,2.0102728999918327,3.25327590003144,x,1,1.2201955000055023,None,,,,,participant 02,001,2025-10-03_16h57.26.625,Motor sequence task,,2025.1.1,59.848738282754496,2025-10-03 16h57.35.555990 +0530,
150,v,1,1,0,v,1,0.4350941000157036,None,0,1,1,1,,,,,3.2620368999778293,,3.2536532999947667,3.2620368999778293,4.2634780000080355,4.2634780000080355,4.2634780000080355,4.2634780000080355,4.2634780000080355,5.264835499983747,5.264835499983747,5.715205200016499,v,1,0.4350941000157036,None,,,,,participant 02,001,2025-10-03_16h57.26.625,Motor sequence task,,2025.1.1,59.848738282754496,2025-10-03 16h57.35.555990 +0530,
50,c,2,2,0,c,1,0.42214529996272177,None,0,2,2,2,,,,,5.731219200009946,,5.71566879999591,5.731219200009946,6.71562560001621,6.71562560001621,6.71562560001621,6.71562560001621,6.732521300029475,7.719095500011463,7.719095500011463,8.152167199994437,c,1,0.42214529996272177,None,,,,,participant 02,001,2025-10-03_16h57.26.625,Motor sequence task,,2025.1.1,59.848738282754496,2025-10-03 16h57.35.555990 +0530,
-150,z,3,3,0,z,1,0.40555359999416396,None,0,3,3,3,,,,,8.167821799986996,,8.152586699987296,8.167821799986996,9.153585300024133,9.153585300024133,9.153585300024133,9.153585300024133,9.169845700031146,10.155022800026927,10.155022800026927,10.573280100012198,z,1,0.40555359999416396,None,,,,,participant 02,001,2025-10-03_16h57.26.625,Motor sequence task,,2025.1.1,59.848738282754496,2025-10-03 16h57.35.555990 +0530,
-50,x,4,0,1,x,1,0.3634801000007428,None,1,0,4,0,,,,,10.586462799983565,,10.573704999987967,10.586462799983565,11.574005100002978,11.574005100002978,11.574005100002978,11.574005100002978,11.58939979999559,12.573651199985761,12.573651199985761,12.939216400031,x,1,0.3634801000007428,None,,,,,participant 02,001,2025-10-03_16h57.26.625,Motor sequence task,,2025.1.1,59.848738282754496,2025-10-03 16h57.35.555990 +0530,
150,v,5,1,1,v,1,0.3005629999679513,None,1,1,5,1,,,,,12.957775800023228,,12.939667200029362,12.957775800023228,13.941903900005855,13.941903900005855,13.941903900005855,13.941903900005855,13.958649799984414,14.943693900015205,14.943693900015205,15.261855999997351,v,1,0.3005629999679513,None,,,,,participant 02,001,2025-10-03_16h57.26.625,Motor sequence task,,2025.1.1,59.848738282754496,2025-10-03 16h57.35.555990 +0530,
50,c,6,2,1,c,1,0.4143135000485927,None,1,2,6,2,,,,,15.275946100009605,,15.262275999994017,15.275946100009605,16.261400800023694,16.261400800023694,16.261400800023694,16.261400800023694,16.278260399994906,17.261867600027472,17.261867600027472,17.679560800024774,c,1,0.4143135000485927,None,,,,,participant 02,001,2025-10-03_16h57.26.625,Motor sequence task,,2025.1.1,59.848738282754496,2025-10-03 16h57.35.555990 +0530,
-150,z,7,3,1,z,1,0.3211553000146523,None,1,3,7,3,,,,,17.694672500016168,,17.68002680002246,17.694672500016168,18.680908299982548,18.680908299982548,18.680908299982548,18.680908299982548,18.69733689998975,19.681725100032054,19.681725100032054,20.016458300000522,z,1,0.3211553000146523,None,,,,,participant 02,001,2025-10-03_16h57.26.625,Motor sequence task,,2025.1.1,59.848738282754496,2025-10-03 16h57.35.555990 +0530,
-50,x,8,0,2,x,1,0.41580429999157786,None,2,0,8,0,,,,,20.030161200033035,,20.01692030002596,20.030161200033035,21.016242999990936,21.016242999990936,21.016242999990936,21.016242999990936,21.033259699994233,22.018472200026736,22.018472200026736,22.451591700024437,x,1,0.41580429999157786,None,,,,,participant 02,001,2025-10-03_16h57.26.625,Motor sequence task,,2025.1.1,59.848738282754496,2025-10-03 16h57.35.555990 +0530,
150,v,9,1,2,v,1,0.3663494000211358,None,2,1,9,1,,,,,22.467682300019078,,22.452122399990913,22.467682300019078,23.452716600033455,23.452716600033455,23.452716600033455,23.452716600033455,23.469457000028342,24.451940300001297,24.451940300001297,24.821224400016945,v,1,0.3663494000211358,None,,,,,participant 02,001,2025-10-03_16h57.26.625,Motor sequence task,,2025.1.1,59.848738282754496,2025-10-03 16h57.35.555990 +0530,
