13.6682 	INFO 	Loaded monitor calibration from ['2025_08_12 09:33']
13.7150 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1920, 1200]. Using actual size
14.0227 	INFO 	Using renderer 'AMD Radeon(TM) Graphics' for graphics
14.0227 	INFO 	OpenGL version supported by driver is 4..
14.0817 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x000002099EBEEB30>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x000002099EBEEB90>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=True, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000002099ECE9D80>, multiSample=False, name='window1', numSamples=2, pos=[np.float64(0.0), np.float64(0.0)], screen=0, size=array([1920, 1200]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
14.0818 	EXP 	window1: backgroundImage = ''
14.0818 	EXP 	window1: backgroundFit = 'none'
14.7682 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
14.7682 	EXP 	window1: recordFrameIntervals = False
15.0289 	EXP 	window1: recordFrameIntervals = True
15.2129 	EXP 	Screen (0) actual frame rate measured at 59.85Hz
15.2129 	EXP 	window1: recordFrameIntervals = False
15.2797 	INFO 	keyboard.Keyboard is using ptb backend.
15.2799 	INFO 	keyboard.Keyboard is using ptb backend.
15.2800 	EXP 	Motor sequence task: status = STARTED
15.2844 	EXP 	Created fixation = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=0.0, draggable=False, fillColor=array([-0.2549,  0.2392,  0.2549]), fillColorSpace='rgb', fillRGB=array([-0.2549,  0.2392,  0.2549]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='fixation', opacity=1, ori=nan, pos=array([0., 0.]), size=array([10., 10.]), units='pix', vertices=ndarray(...), win=Window(...), windingRule=None)
