study_word,thisN,thisTrialN,thisRepN,Studyslider.response,Studyslider.rt,test_words,reference,old_new,test_textbox.text,testmouse.x,testmouse.y,testmouse.leftButton,testmouse.midButton,testmouse.rightButton,testmouse.time,testmouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,StudyText.started,Studyslider.started,StudyText.stopped,trial.stopped,trials.Studyslider.response,trials.Studyslider.rt,test.started,Testtext.started,test_textbox.started,text.started,testmouse.started,test.stopped,trials_2.test_textbox.text,trials_2.testmouse.x,trials_2.testmouse.y,trials_2.testmouse.leftButton,trials_2.testmouse.midButton,trials_2.testmouse.rightButton,trials_2.testmouse.time,trials_2.testmouse.clicked_name,Testtext.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
board,0,0,0,1,15.014022000017576,,,,,,,,,,,,0,0,0,4,,,,,0.035904399992432445,,0.020193699980154634,0.035904399992432445,0.035904399992432445,8.04211199999554,15.05039340001531,1,15.014022000017576,,,,,,,,,,,,,,,,sSubject 05,001,2025-10-19_17h49.45.044,word_priming,,2025.1.1,59.46876550878161,2025-10-19 17h51.14.605230 +0530,
pastry,1,1,0,1,2.8983897999860346,,,,,,,,,,,,0,1,1,9,,,,,15.065840900002513,,15.055967399966903,15.065840900002513,15.065840900002513,,17.972528899961617,1,2.8983897999860346,,,,,,,,,,,,,,,,sSubject 05,001,2025-10-19_17h49.45.044,word_priming,,2025.1.1,59.46876550878161,2025-10-19 17h51.14.605230 +0530,
book,2,2,0,1,0.9968537000240758,,,,,,,,,,,,0,2,2,0,,,,,17.98631619999651,,17.975331199995708,17.98631619999651,17.98631619999651,,18.988171399978455,1,0.9968537000240758,,,,,,,,,,,,,,,,sSubject 05,001,2025-10-19_17h49.45.044,word_priming,,2025.1.1,59.46876550878161,2025-10-19 17h51.14.605230 +0530,
phone,3,3,0,1,0.7317883999785408,,,,,,,,,,,,0,3,3,2,,,,,19.00404269999126,,18.99328679998871,19.00404269999126,19.00404269999126,,19.73893459996907,1,0.7317883999785408,,,,,,,,,,,,,,,,sSubject 05,001,2025-10-19_17h49.45.044,word_priming,,2025.1.1,59.46876550878161,2025-10-19 17h51.14.605230 +0530,
keys,4,4,0,1,0.6829908000072464,,,,,,,,,,,,0,4,4,13,,,,,19.7552642999799,,19.741399899998214,19.7552642999799,19.7552642999799,,20.43926819995977,1,0.6829908000072464,,,,,,,,,,,,,,,,sSubject 05,001,2025-10-19_17h49.45.044,word_priming,,2025.1.1,59.46876550878161,2025-10-19 17h51.14.605230 +0530,
police,5,5,0,1,0.6496775000123307,,,,,,,,,,,,0,5,5,12,,,,,20.45529000001261,,20.442009899998084,20.45529000001261,20.45529000001261,,21.10691949998727,1,0.6496775000123307,,,,,,,,,,,,,,,,sSubject 05,001,2025-10-19_17h49.45.044,word_priming,,2025.1.1,59.46876550878161,2025-10-19 17h51.14.605230 +0530,
chart,6,6,0,1,0.934108599962201,,,,,,,,,,,,0,6,6,6,,,,,21.122483899991494,,21.109633199987,21.122483899991494,21.122483899991494,,22.058173099998385,1,0.934108599962201,,,,,,,,,,,,,,,,sSubject 05,001,2025-10-19_17h49.45.044,word_priming,,2025.1.1,59.46876550878161,2025-10-19 17h51.14.605230 +0530,
t-shirt,7,7,0,1,0.9138470999896526,,,,,,,,,,,,0,7,7,7,,,,,22.07376529998146,,22.0632278000121,22.07376529998146,22.07376529998146,,22.992672899970785,1,0.9138470999896526,,,,,,,,,,,,,,,,sSubject 05,001,2025-10-19_17h49.45.044,word_priming,,2025.1.1,59.46876550878161,2025-10-19 17h51.14.605230 +0530,
cruise,8,8,0,1,2.4337589999777265,,,,,,,,,,,,0,8,8,11,,,,,23.007893999980297,,22.996408500010148,23.007893999980297,23.007893999980297,,25.446134999976493,1,2.4337589999777265,,,,,,,,,,,,,,,,sSubject 05,001,2025-10-19_17h49.45.044,word_priming,,2025.1.1,59.46876550878161,2025-10-19 17h51.14.605230 +0530,
marble,9,9,0,1,2.065886299998965,,,,,,,,,,,,0,9,9,3,,,,,25.4609538000077,,25.450461599975824,25.4609538000077,25.4609538000077,,27.531786100007594,1,2.065886299998965,,,,,,,,,,,,,,,,sSubject 05,001,2025-10-19_17h49.45.044,word_priming,,2025.1.1,59.46876550878161,2025-10-19 17h51.14.605230 +0530,
laptop,10,10,0,1,0.8815418999874964,,,,,,,,,,,,0,10,10,5,,,,,27.546864399977494,,27.535170099989045,27.546864399977494,27.546864399977494,,28.43154089996824,1,0.8815418999874964,,,,,,,,,,,,,,,,sSubject 05,001,2025-10-19_17h49.45.044,word_priming,,2025.1.1,59.46876550878161,2025-10-19 17h51.14.605230 +0530,
case,11,11,0,1,0.9189992999890819,,,,,,,,,,,,0,11,11,10,,,,,28.44761989999097,,28.43509169999743,28.44761989999097,28.44761989999097,,29.366379699960817,1,0.9189992999890819,,,,,,,,,,,,,,,,sSubject 05,001,2025-10-19_17h49.45.044,word_priming,,2025.1.1,59.46876550878161,2025-10-19 17h51.14.605230 +0530,
mouse,12,12,0,1,1.61752140003955,,,,,,,,,,,,0,12,12,8,,,,,29.38181369996164,,29.369106700003613,29.38181369996164,29.38181369996164,,31.001376700005494,1,1.61752140003955,,,,,,,,,,,,,,,,sSubject 05,001,2025-10-19_17h49.45.044,word_priming,,2025.1.1,59.46876550878161,2025-10-19 17h51.14.605230 +0530,
poster,13,13,0,1,2.3181984999682754,,,,,,,,,,,,0,13,13,14,,,,,31.017008499999065,,31.00404199998593,31.017008499999065,31.017008499999065,,33.3374085999676,1,2.3181984999682754,,,,,,,,,,,,,,,,sSubject 05,001,2025-10-19_17h49.45.044,word_priming,,2025.1.1,59.46876550878161,2025-10-19 17h51.14.605230 +0530,
cushion,14,14,0,1,1.050139400002081,,,,,,,,,,,,0,14,14,1,,,,,33.352330299967434,,33.34116559999529,33.352330299967434,33.352330299967434,,34.40501089999452,1,1.050139400002081,,,,,,,,,,,,,,,,sSubject 05,001,2025-10-19_17h49.45.044,word_priming,,2025.1.1,59.46876550878161,2025-10-19 17h51.14.605230 +0530,
,0,0,0,,,c_m_ra,camera,new,camera,"[np.float64(0.041666666666666664), np.float64(0.029166666666666667)]","[np.float64(-0.3358333333333333), np.float64(-0.295)]","[1, 1]","[0, 0]","[0, 0]","[9.155578900012188, 9.756422200007364]","[None, 'text']",,,,,0,0,0,19,34.42377409996698,,,,,,,,,34.41316429997096,34.42377409996698,34.42377409996698,34.42377409996698,0.008146300038788468,44.16984200000297,camera,"[np.float64(0.041666666666666664), np.float64(0.029166666666666667)]","[np.float64(-0.3358333333333333), np.float64(-0.295)]","[1, 1]","[0, 0]","[0, 0]","[9.155578900012188, 9.756422200007364]","[None, 'text']",,sSubject 05,001,2025-10-19_17h49.45.044,word_priming,,2025.1.1,59.46876550878161,2025-10-19 17h51.14.605230 +0530,
,1,1,0,,,P_li_e,police,old ,police,[np.float64(0.029166666666666667)],[np.float64(-0.295)],[1],[0],[0],[7.30065079999622],['text'],,,,,0,1,1,7,44.1867320999736,,,,,,,,,44.17552589997649,44.1867320999736,44.1867320999736,44.1867320999736,0.005538000026717782,51.47658879996743,police,[np.float64(0.029166666666666667)],[np.float64(-0.295)],[1],[0],[0],[7.30065079999622],['text'],,sSubject 05,001,2025-10-19_17h49.45.044,word_priming,,2025.1.1,59.46876550878161,2025-10-19 17h51.14.605230 +0530,
,2,2,0,,,_o_rd,board,old ,board,[np.float64(0.029166666666666667)],[np.float64(-0.295)],[1],[0],[0],[6.655938500014599],['text'],,,,,0,2,2,10,51.49135580001166,,,,,,,,,51.480090699973516,51.49135580001166,51.49135580001166,51.49135580001166,0.003265000006649643,58.13632970000617,board,[np.float64(0.029166666666666667)],[np.float64(-0.295)],[1],[0],[0],[6.655938500014599],['text'],,sSubject 05,001,2025-10-19_17h49.45.044,word_priming,,2025.1.1,59.46876550878161,2025-10-19 17h51.14.605230 +0530,
,3,3,0,,,v_s_,vase,new,visa,[np.float64(0.029166666666666667)],[np.float64(-0.295)],[1],[0],[0],[4.8800163000123575],['text'],,,,,0,3,3,17,58.15267219999805,,,,,,,,,58.14155669999309,58.15267219999805,58.15267219999805,58.15267219999805,0.005080499977339059,63.02190220000921,visa,[np.float64(0.029166666666666667)],[np.float64(-0.295)],[1],[0],[0],[4.8800163000123575],['text'],,sSubject 05,001,2025-10-19_17h49.45.044,word_priming,,2025.1.1,59.46876550878161,2025-10-19 17h51.14.605230 +0530,
,4,4,0,,,p_st_r,poster,old ,paster,[np.float64(0.029166666666666667)],[np.float64(-0.295)],[1],[0],[0],[6.753149899945129],['text'],,,,,0,4,4,9,63.037365399999544,,,,,,,,,63.02532549999887,63.037365399999544,63.037365399999544,63.037365399999544,0.003056199988350272,69.77885979996063,paster,[np.float64(0.029166666666666667)],[np.float64(-0.295)],[1],[0],[0],[6.753149899945129],['text'],,sSubject 05,001,2025-10-19_17h49.45.044,word_priming,,2025.1.1,59.46876550878161,2025-10-19 17h51.14.605230 +0530,
,5,5,0,,,p_s_ry,pastry,old ,pastry,[np.float64(0.029166666666666667)],[np.float64(-0.295)],[1],[0],[0],[4.436815800028853],['text'],,,,,0,5,5,4,69.79379259998677,,,,,,,,,69.78189230000135,69.79379259998677,69.79379259998677,69.79379259998677,0.0027972999960184097,74.21900499996264,pastry,[np.float64(0.029166666666666667)],[np.float64(-0.295)],[1],[0],[0],[4.436815800028853],['text'],,sSubject 05,001,2025-10-19_17h49.45.044,word_priming,,2025.1.1,59.46876550878161,2025-10-19 17h51.14.605230 +0530,
,6,6,0,,,_ou_e,mouse,old ,mouse,[np.float64(0.029166666666666667)],[np.float64(-0.295)],[1],[0],[0],[5.550650699995458],['text'],,,,,0,6,6,3,74.2322950999951,,,,,,,,,74.22203299996909,74.2322950999951,74.2322950999951,74.2322950999951,0.0029116999940015376,79.77304219995858,mouse,[np.float64(0.029166666666666667)],[np.float64(-0.295)],[1],[0],[0],[5.550650699995458],['text'],,sSubject 05,001,2025-10-19_17h49.45.044,word_priming,,2025.1.1,59.46876550878161,2025-10-19 17h51.14.605230 +0530,
