study_word,thisN,thisTrialN,thisRepN,Studyslider.response,Studyslider.rt,test_words,reference,old_new,test_textbox.text,testmouse.x,testmouse.y,testmouse.leftButton,testmouse.midButton,testmouse.rightButton,testmouse.time,testmouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,StudyText.started,Studyslider.started,trial.stopped,trials.Studyslider.response,trials.Studyslider.rt,test.started,Testtext.started,test_textbox.started,text.started,testmouse.started,Testtext.stopped,test.stopped,trials_2.test_textbox.text,trials_2.testmouse.x,trials_2.testmouse.y,trials_2.testmouse.leftButton,trials_2.testmouse.midButton,trials_2.testmouse.rightButton,trials_2.testmouse.time,trials_2.testmouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
case,0,0,0,1.006666667,6.5901194,,,,,,,,,,,,0,0,0,10,,,,,0.0379014,,0.0188104,0.0379014,0.0379014,6.6232842,1.006666667,6.5901194,,,,,,,,,,,,,,,,subject 01,1,2025-10-16_20h55.02.639,word_priming,,2025.1.1,59.50383324,2025-10-16 20h55.42.915519 +0530
board,1,1,0,1.006666667,1.3478048,,,,,,,,,,,,0,1,1,4,,,,,6.6390531,,6.6279033,6.6390531,6.6390531,7.9923704,1.006666667,1.3478048,,,,,,,,,,,,,,,,subject 01,1,2025-10-16_20h55.02.639,word_priming,,2025.1.1,59.50383324,2025-10-16 20h55.42.915519 +0530
keys,2,2,0,1.006666667,1.2634251,,,,,,,,,,,,0,2,2,13,,,,,8.006181,,7.9962348,8.006181,8.006181,9.2776358,1.006666667,1.2634251,,,,,,,,,,,,,,,,subject 01,1,2025-10-16_20h55.02.639,word_priming,,2025.1.1,59.50383324,2025-10-16 20h55.42.915519 +0530
laptop,3,3,0,1.006666667,6.6696669,,,,,,,,,,,,0,3,3,5,,,,,9.2913983,,9.2823594,9.2913983,9.2913983,15.966538,1.006666667,6.6696669,,,,,,,,,,,,,,,,subject 01,1,2025-10-16_20h55.02.639,word_priming,,2025.1.1,59.50383324,2025-10-16 20h55.42.915519 +0530
cruise,4,4,0,1.006666667,1.4150184,,,,,,,,,,,,0,4,4,11,,,,,15.9842697,,15.9710414,15.9842697,15.9842697,17.4010118,1.006666667,1.4150184,,,,,,,,,,,,,,,,subject 01,1,2025-10-16_20h55.02.639,word_priming,,2025.1.1,59.50383324,2025-10-16 20h55.42.915519 +0530
marble,5,5,0,1.006666667,1.1317802,,,,,,,,,,,,0,5,5,3,,,,,17.4168731,,17.4049099,17.4168731,17.4168731,18.5545075,1.006666667,1.1317802,,,,,,,,,,,,,,,,subject 01,1,2025-10-16_20h55.02.639,word_priming,,2025.1.1,59.50383324,2025-10-16 20h55.42.915519 +0530
police,6,6,0,1.006666667,1.114072,,,,,,,,,,,,0,6,6,12,,,,,18.5689074,,18.5585312,18.5689074,18.5689074,19.6872233,1.006666667,1.114072,,,,,,,,,,,,,,,,subject 01,1,2025-10-16_20h55.02.639,word_priming,,2025.1.1,59.50383324,2025-10-16 20h55.42.915519 +0530
cusion,7,7,0,1.006666667,1.1162106,,,,,,,,,,,,0,7,7,1,,,,,19.7029573,,19.6927691,19.7029573,19.7029573,20.8223077,1.006666667,1.1162106,,,,,,,,,,,,,,,,subject 01,1,2025-10-16_20h55.02.639,word_priming,,2025.1.1,59.50383324,2025-10-16 20h55.42.915519 +0530
book,8,8,0,1.006666667,3.7195185,,,,,,,,,,,,0,8,8,0,,,,,20.8371856,,20.8248641,20.8371856,20.8371856,24.5594861,1.006666667,3.7195185,,,,,,,,,,,,,,,,subject 01,1,2025-10-16_20h55.02.639,word_priming,,2025.1.1,59.50383324,2025-10-16 20h55.42.915519 +0530
chart,9,9,0,1.006666667,1.0961205,,,,,,,,,,,,0,9,9,6,,,,,24.5737598,,24.5659223,24.5737598,24.5737598,25.6770307,1.006666667,1.0961205,,,,,,,,,,,,,,,,subject 01,1,2025-10-16_20h55.02.639,word_priming,,2025.1.1,59.50383324,2025-10-16 20h55.42.915519 +0530
