study_word,thisN,thisTrialN,thisRepN,Studyslider.response,Studyslider.rt,test_words,reference,old_new,test_textbox.text,testmouse.x,testmouse.y,testmouse.leftButton,testmouse.midButton,testmouse.rightButton,testmouse.time,testmouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,StudyText.started,Studyslider.started,trial.stopped,trials.Studyslider.response,trials.Studyslider.rt,test.started,Testtext.started,test_textbox.started,text.started,testmouse.started,Testtext.stopped,test.stopped,trials_2.test_textbox.text,trials_2.testmouse.x,trials_2.testmouse.y,trials_2.testmouse.leftButton,trials_2.testmouse.midButton,trials_2.testmouse.rightButton,trials_2.testmouse.time,trials_2.testmouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
pastry,0,0,0,1.003333333,5.9397284,,,,,,,,,,,,0,0,0,9,,,,,0.0303724,,0.0167018,0.0303724,0.0303724,5.9724302,1.003333333,5.9397284,,,,,,,,,,,,,,,,subject02,1,2025-10-19_17h23.15.014,word_priming,,2025.1.1,59.71443362,2025-10-19 17h23.38.232577 +0530
board,1,1,0,1.003333333,1.8671088,,,,,,,,,,,,0,1,1,4,,,,,5.988472,,5.9782496,5.988472,5.988472,7.857927,1.003333333,1.8671088,,,,,,,,,,,,,,,,subject02,1,2025-10-19_17h23.15.014,word_priming,,2025.1.1,59.71443362,2025-10-19 17h23.38.232577 +0530
mouse,2,2,0,1.003333333,1.1300434,,,,,,,,,,,,0,2,2,8,,,,,7.8733166,,7.8624562,7.8733166,7.8733166,9.008192,1.003333333,1.1300434,,,,,,,,,,,,,,,,subject02,1,2025-10-19_17h23.15.014,word_priming,,2025.1.1,59.71443362,2025-10-19 17h23.38.232577 +0530
laptop,3,3,0,1.003333333,1.1513531,,,,,,,,,,,,0,3,3,5,,,,,9.0239364,,9.0116649,9.0239364,9.0239364,10.1764574,1.003333333,1.1513531,,,,,,,,,,,,,,,,subject02,1,2025-10-19_17h23.15.014,word_priming,,2025.1.1,59.71443362,2025-10-19 17h23.38.232577 +0530
police,4,4,0,1.003333333,1.4996964,,,,,,,,,,,,0,4,4,12,,,,,10.1915867,,10.1791246,10.1915867,10.1915867,11.6950298,1.003333333,1.4996964,,,,,,,,,,,,,,,,subject02,1,2025-10-19_17h23.15.014,word_priming,,2025.1.1,59.71443362,2025-10-19 17h23.38.232577 +0530
cushion,5,5,0,1.003333333,0.9139556,,,,,,,,,,,,0,5,5,1,,,,,11.710551,,11.6998123,11.710551,11.710551,12.6285006,1.003333333,0.9139556,,,,,,,,,,,,,,,,subject02,1,2025-10-19_17h23.15.014,word_priming,,2025.1.1,59.71443362,2025-10-19 17h23.38.232577 +0530
case,6,6,0,1.003333333,1.0172489,,,,,,,,,,,,0,6,6,10,,,,,12.6447607,,12.6314772,12.6447607,12.6447607,13.6632581,1.003333333,1.0172489,,,,,,,,,,,,,,,,subject02,1,2025-10-19_17h23.15.014,word_priming,,2025.1.1,59.71443362,2025-10-19 17h23.38.232577 +0530
chart,7,7,0,1.003333333,1.0345299,,,,,,,,,,,,0,7,7,6,,,,,13.6789954,,13.6658752,13.6789954,13.6789954,14.7144917,1.003333333,1.0345299,,,,,,,,,,,,,,,,subject02,1,2025-10-19_17h23.15.014,word_priming,,2025.1.1,59.71443362,2025-10-19 17h23.38.232577 +0530
cruise,8,8,0,1.003333333,1.2337623,,,,,,,,,,,,0,8,8,11,,,,,14.7302972,,14.7174969,14.7302972,14.7302972,15.9659637,1.003333333,1.2337623,,,,,,,,,,,,,,,,subject02,1,2025-10-19_17h23.15.014,word_priming,,2025.1.1,59.71443362,2025-10-19 17h23.38.232577 +0530
marble,9,9,0,1.003333333,1.0831609,,,,,,,,,,,,0,9,9,3,,,,,15.9818007,,15.9686838,15.9818007,15.9818007,17.0677302,1.003333333,1.0831609,,,,,,,,,,,,,,,,subject02,1,2025-10-19_17h23.15.014,word_priming,,2025.1.1,59.71443362,2025-10-19 17h23.38.232577 +0530
