 ,thisN,thisTrialN,thisRepN,Studyslider.response,Studyslider.rt,test_words,reference,old_new,test_textbox.text,testmouse.x,testmouse.y,testmouse.leftButton,testmouse.midButton,testmouse.rightButton,testmouse.time,testmouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,StudyText.started,Studyslider.started,trial.stopped,trials.Studyslider.response,trials.Studyslider.rt,test.started,Testtext.started,test_textbox.started,text.started,testmouse.started,Testtext.stopped,test.stopped,trials_2.test_textbox.text,trials_2.testmouse.x,trials_2.testmouse.y,trials_2.testmouse.leftButton,trials_2.testmouse.midButton,trials_2.testmouse.rightButton,trials_2.testmouse.time,trials_2.testmouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
cruise,0,0,0,1,4.2106081,,,,,,,,,,,,0,0,0,11,,,,,0.0451322,,0.0320989,0.0451322,0.0451322,4.2589823,1,4.2106081,,,,,,,,,,,,,,,,subject04,1,2025-10-19_16h34.06.345,word_priming,,2025.1.1,59.84852337,2025-10-19 16h36.09.139247 +0530
poster,1,1,0,1,1.4151747,,,,,,,,,,,,0,1,1,14,,,,,4.274099,,4.2633743,4.274099,4.274099,5.6939279,1,1.4151747,,,,,,,,,,,,,,,,subject04,1,2025-10-19_16h34.06.345,word_priming,,2025.1.1,59.84852337,2025-10-19 16h36.09.139247 +0530
police,2,2,0,1,1.0806269,,,,,,,,,,,,0,2,2,12,,,,,5.7089299,,5.6979331,5.7089299,5.7089299,6.7949626,1,1.0806269,,,,,,,,,,,,,,,,subject04,1,2025-10-19_16h34.06.345,word_priming,,2025.1.1,59.84852337,2025-10-19 16h36.09.139247 +0530
case,3,3,0,1,0.9312758,,,,,,,,,,,,0,3,3,10,,,,,6.8102833,,6.8004521,6.8102833,6.8102833,7.7457693,1,0.9312758,,,,,,,,,,,,,,,,subject04,1,2025-10-19_16h34.06.345,word_priming,,2025.1.1,59.84852337,2025-10-19 16h36.09.139247 +0530
keys,4,4,0,1,1.1306208,,,,,,,,,,,,0,4,4,13,,,,,7.7610072,,7.7503206,7.7610072,7.7610072,8.8967256,1,1.1306208,,,,,,,,,,,,,,,,subject04,1,2025-10-19_16h34.06.345,word_priming,,2025.1.1,59.84852337,2025-10-19 16h36.09.139247 +0530
chart,5,5,0,1,0.9163962,,,,,,,,,,,,0,5,5,6,,,,,8.9126,,8.900909,8.9126,8.9126,9.8313208,1,0.9163962,,,,,,,,,,,,,,,,subject04,1,2025-10-19_16h34.06.345,word_priming,,2025.1.1,59.84852337,2025-10-19 16h36.09.139247 +0530
laptop,6,6,0,1,0.9493523,,,,,,,,,,,,0,6,6,5,,,,,9.846404,,9.8340223,9.846404,9.846404,10.7991649,1,0.9493523,,,,,,,,,,,,,,,,subject04,1,2025-10-19_16h34.06.345,word_priming,,2025.1.1,59.84852337,2025-10-19 16h36.09.139247 +0530
marble,7,7,0,1,1.0147416,,,,,,,,,,,,0,7,7,3,,,,,10.8148082,,10.8025868,10.8148082,10.8148082,11.8334701,1,1.0147416,,,,,,,,,,,,,,,,subject04,1,2025-10-19_16h34.06.345,word_priming,,2025.1.1,59.84852337,2025-10-19 16h36.09.139247 +0530
board,8,8,0,1,0.9325973,,,,,,,,,,,,0,8,8,4,,,,,11.8491927,,11.8372309,11.8491927,11.8491927,12.7846836,1,0.9325973,,,,,,,,,,,,,,,,subject04,1,2025-10-19_16h34.06.345,word_priming,,2025.1.1,59.84852337,2025-10-19 16h36.09.139247 +0530
t-shirt,9,9,0,1,0.9475965,,,,,,,,,,,,0,9,9,7,,,,,12.7997334,,12.7887814,12.7997334,12.7997334,13.7519933,1,0.9475965,,,,,,,,,,,,,,,,subject04,1,2025-10-19_16h34.06.345,word_priming,,2025.1.1,59.84852337,2025-10-19 16h36.09.139247 +0530
